
select *
from method
where signature not null
limit 100;
methodid|classid|access|methodname|methoddescid|signature|exceptions
60306|6461|9|create0|2160|<T:Ljava/lang/Object;>(Ljava/lang/Class<TT;>;)TT;|21
60307|6461|9|create|2160|<T:Ljava/lang/Object;>(Ljava/lang/Class<TT;>;)TT;|21
60310|6462|9|createContext|11349|([Ljava/lang/Class;Ljava/util/Map<Ljava/lang/String;Ljava/lang/Object;>;)Ljavax/xml/bind/JAXBContext;|21
60311|6462|10|getDefaultNamespaceRemap|1601|(Ljava/util/Map<Ljava/lang/String;Ljava/lang/Object;>;)Ljava/lang/String;|21
60312|6462|9|createContext|11510|([Ljava/lang/Class;Ljava/util/Collection<Lcom/sun/xml/bind/api/TypeReference;>;Ljava/lang/String;)Ljavax/xml/bind/JAXBContext;|21
60313|6462|9|createContext|11365|(Ljava/lang/String;Ljava/lang/ClassLoader;Ljava/util/Map<Ljava/lang/String;Ljava/lang/Object;>;)Ljavax/xml/bind/JAXBContext;|21
60314|6462|10|loadIndexedClasses|11516|(Ljava/lang/String;Ljava/lang/ClassLoader;)Ljava/util/List<Ljava/lang/Class;>;|21
60324|6464|1|<init>|11519|(Ljava/lang/Iterable<+Ljava/util/Map<*+TT;>;>;)V|21
60327|6464|1|next|166|()TT;|21
60331|6465|2|<init>|32|()V|21
60373|6473|0|<init>|11524|(ILjava/lang/String;Ljava/lang/String;TV;Lcom/sun/xml/bind/v2/QNameMap$Entry<TV;>;)V|21
60375|6473|1|getValue|166|()TV;|21
60376|6473|1|setValue|36|(TV;)TV;|21
60381|6474|1|next|11526|()Lcom/sun/xml/bind/v2/QNameMap$Entry<TValueT;>;|21
60385|6475|1|iterator|1055|()Ljava/util/Iterator<Lcom/sun/xml/bind/v2/QNameMap$Entry<TValueT;>;>;|21
60392|6476|0|nextEntry|11526|()Lcom/sun/xml/bind/v2/QNameMap$Entry<TValueT;>;|21
60395|6477|1|put|11530|(Ljava/lang/String;Ljava/lang/String;TValueT;)V|21
60396|6477|1|put|11341|(Ljavax/xml/namespace/QName;TValueT;)V|21
60397|6477|1|put|11532|(Lcom/sun/xml/bind/v2/runtime/Name;TValueT;)V|21
60398|6477|1|get|1278|(Ljava/lang/String;Ljava/lang/String;)TValueT;|21
60399|6477|1|get|11340|(Ljavax/xml/namespace/QName;)TValueT;|21
60401|6477|1|putAll|11534|(Lcom/sun/xml/bind/v2/QNameMap<+TValueT;>;)Lcom/sun/xml/bind/v2/QNameMap<TValueT;>;|21
60404|6477|2|addEntry|11531|(ILjava/lang/String;Ljava/lang/String;TValueT;I)V|21
60406|6477|2|transfer|11535|([Lcom/sun/xml/bind/v2/QNameMap$Entry<TValueT;>;)V|21
60409|6477|1|entrySet|758|()Ljava/util/Set<Lcom/sun/xml/bind/v2/QNameMap$Entry<TValueT;>;>;|21
60410|6477|2|newEntryIterator|1055|()Ljava/util/Iterator<Lcom/sun/xml/bind/v2/QNameMap$Entry<TValueT;>;>;|21
60411|6477|2|getEntry|11533|(Ljava/lang/String;Ljava/lang/String;)Lcom/sun/xml/bind/v2/QNameMap$Entry<TValueT;>;|21
60433|6481|17|getMethodAnnotation|11539|<A::Ljava/lang/annotation/Annotation;>(Ljava/lang/Class<TA;>;Ljava/lang/String;TMethodT;TMethodT;Lcom/sun/xml/bind/v2/model/annotation/Locatable;)TA;|21
60434|6481|1|hasMethodAnnotation|11542|(Ljava/lang/Class<+Ljava/lang/annotation/Annotation;>;Ljava/lang/String;TMethodT;TMethodT;Lcom/sun/xml/bind/v2/model/annotation/Locatable;)Z|21
60435|6481|1028|fullName|27|(TMethodT;)Ljava/lang/String;|21
60438|6482|1025|getFieldAnnotation|11544|<A::Ljava/lang/annotation/Annotation;>(Ljava/lang/Class<TA;>;Ljava/lang/String;TFieldT;Lcom/sun/xml/bind/v2/model/annotation/Locatable;)TA;|21
60439|6482|1025|hasFieldAnnotation|11543|(Ljava/lang/Class<+Ljava/lang/annotation/Annotation;>;TFieldT;)Z|21
60440|6482|1025|getMethodAnnotation|11539|<A::Ljava/lang/annotation/Annotation;>(Ljava/lang/Class<TA;>;Ljava/lang/String;TMethodT;TMethodT;Lcom/sun/xml/bind/v2/model/annotation/Locatable;)TA;|21
60441|6482|1025|hasMethodAnnotation|11542|(Ljava/lang/Class<+Ljava/lang/annotation/Annotation;>;Ljava/lang/String;TMethodT;TMethodT;Lcom/sun/xml/bind/v2/model/annotation/Locatable;)Z|21
60442|6482|1025|getMethodAnnotation|11540|<A::Ljava/lang/annotation/Annotation;>(Ljava/lang/Class<TA;>;TMethodT;Lcom/sun/xml/bind/v2/model/annotation/Locatable;)TA;|21
60443|6482|1025|hasMethodAnnotation|11543|(Ljava/lang/Class<+Ljava/lang/annotation/Annotation;>;TMethodT;)Z|21
60444|6482|1025|getMethodParameterAnnotation|11545|<A::Ljava/lang/annotation/Annotation;>(Ljava/lang/Class<TA;>;TMethodT;ILcom/sun/xml/bind/v2/model/annotation/Locatable;)TA;|21
60445|6482|1025|getClassAnnotation|11540|<A::Ljava/lang/annotation/Annotation;>(Ljava/lang/Class<TA;>;TClassDeclT;Lcom/sun/xml/bind/v2/model/annotation/Locatable;)TA;|21
60446|6482|1025|getPackageAnnotation|11540|<A::Ljava/lang/annotation/Annotation;>(Ljava/lang/Class<TA;>;TClassDeclT;Lcom/sun/xml/bind/v2/model/annotation/Locatable;)TA;|21
60447|6482|1025|getClassValue|11546|(Ljava/lang/annotation/Annotation;Ljava/lang/String;)TTypeT;|21
60448|6483|1|<init>|11547|(Lcom/sun/xml/bind/v2/model/annotation/Locatable;TClassDeclT;Lcom/sun/xml/bind/v2/model/nav/Navigator<*TClassDeclT;**>;)V|21
60451|6484|1|<init>|11547|(Lcom/sun/xml/bind/v2/model/annotation/Locatable;TFieldT;Lcom/sun/xml/bind/v2/model/nav/Navigator<**TFieldT;*>;)V|21
60458|6487|9|create|11570|<A::Ljava/lang/annotation/Annotation;>(TA;Lcom/sun/xml/bind/v2/model/annotation/Locatable;)TA;|21
60467|6488|2|<init>|32|()V|21
60471|6489|1|<init>|11547|(Lcom/sun/xml/bind/v2/model/annotation/Locatable;TMethodT;Lcom/sun/xml/bind/v2/model/nav/Navigator<***TMethodT;>;)V|21
60481|6492|1|getFieldAnnotation|11577|<A::Ljava/lang/annotation/Annotation;>(Ljava/lang/Class<TA;>;Ljava/lang/String;Ljava/lang/reflect/Field;Lcom/sun/xml/bind/v2/model/annotation/Locatable;)TA;|21
60482|6492|1|hasFieldAnnotation|11579|(Ljava/lang/Class<+Ljava/lang/annotation/Annotation;>;Ljava/lang/reflect/Field;)Z|21
60483|6492|1|getMethodAnnotation|11580|<A::Ljava/lang/annotation/Annotation;>(Ljava/lang/Class<TA;>;Ljava/lang/reflect/Method;Lcom/sun/xml/bind/v2/model/annotation/Locatable;)TA;|21
60484|6492|1|hasMethodAnnotation|1378|(Ljava/lang/Class<+Ljava/lang/annotation/Annotation;>;Ljava/lang/reflect/Method;)Z|21
60485|6492|1|getMethodParameterAnnotation|11581|<A::Ljava/lang/annotation/Annotation;>(Ljava/lang/Class<TA;>;Ljava/lang/reflect/Method;ILcom/sun/xml/bind/v2/model/annotation/Locatable;)TA;|21
60486|6492|1|getClassAnnotation|11583|<A::Ljava/lang/annotation/Annotation;>(Ljava/lang/Class<TA;>;Ljava/lang/Class;Lcom/sun/xml/bind/v2/model/annotation/Locatable;)TA;|21
60487|6492|1|getPackageAnnotation|11583|<A::Ljava/lang/annotation/Annotation;>(Ljava/lang/Class<TA;>;Ljava/lang/Class;Lcom/sun/xml/bind/v2/model/annotation/Locatable;)TA;|21
